timestamp_ms,snapshot_id,active_clients,total_actions,cpu_percent
1766393345544,1,1,0,0.0
1766393345599,2,1,0,16.7
1766393345653,3,1,0,0.0
1766393345707,4,1,0,0.0
1766393345761,5,1,0,0.0
1766393345816,6,1,0,0.0
1766393345870,7,1,0,0.0
1766393345923,8,1,0,20.0
1766393345976,9,1,0,0.0
1766393346032,10,1,0,0.0
1766393346086,11,1,0,0.0
1766393346139,12,1,0,0.0
1766393346193,13,1,0,16.7
1766393346246,14,1,0,0.0
1766393346300,15,1,0,0.0
1766393346353,16,1,0,0.0
1766393346407,17,1,0,0.0
1766393346461,18,1,0,20.0
1766393346516,19,1,0,0.0
1766393346570,20,1,0,0.0
1766393346624,21,1,0,0.0
1766393346677,22,1,0,20.0
1766393346731,23,1,0,0.0
1766393346785,24,1,0,0.0
1766393346839,25,1,0,0.0
1766393346892,26,1,0,0.0
1766393346945,27,1,0,0.0
1766393346999,28,1,0,0.0
1766393347053,29,1,0,0.0
1766393347107,30,1,0,0.0
1766393347160,31,1,0,20.0
1766393347213,32,1,0,0.0
1766393347267,33,1,0,0.0
1766393347321,34,1,0,0.0
1766393347374,35,1,0,0.0
1766393347430,36,1,0,0.0
1766393347483,37,1,0,0.0
1766393347537,38,1,0,20.0
1766393347590,39,1,0,0.0
1766393347644,40,1,0,0.0
1766393347697,41,1,0,0.0
1766393347751,42,1,0,0.0
1766393347806,43,1,0,0.0
1766393347859,44,1,0,20.0
1766393347913,45,1,0,0.0
1766393347969,46,1,0,0.0
1766393348022,47,1,0,20.0
1766393348076,48,1,0,0.0
1766393348129,49,1,0,0.0
1766393348182,50,1,0,0.0
1766393348236,51,1,0,0.0
1766393348290,52,1,0,0.0
1766393348344,53,1,0,0.0
1766393348398,54,1,0,20.0
1766393348452,55,1,0,20.0
1766393348506,56,1,0,0.0
1766393348560,57,1,0,0.0
1766393348614,58,1,0,0.0
1766393348668,59,1,0,16.7
1766393348722,60,1,0,0.0
1766393348775,61,1,0,0.0
1766393348829,62,1,0,0.0
1766393348883,63,1,0,0.0
1766393348937,64,1,0,0.0
1766393348990,65,1,0,0.0
1766393349044,66,1,0,0.0
1766393349098,67,1,0,16.7
1766393349152,68,1,0,0.0
1766393349205,69,1,0,0.0
1766393349258,70,1,0,0.0
1766393349311,71,1,0,0.0
1766393349365,72,1,0,0.0
1766393349419,73,1,0,0.0
1766393349472,74,1,0,0.0
1766393349526,75,1,0,0.0
1766393349579,76,1,0,0.0
1766393349633,77,1,0,20.0
1766393349686,78,1,0,0.0
1766393349740,79,1,0,0.0
1766393349795,80,1,0,0.0
1766393349848,81,1,0,0.0
1766393349902,82,1,0,0.0
1766393349955,83,1,0,0.0
1766393350009,84,1,0,14.3
1766393350063,85,1,0,0.0
1766393350116,86,1,0,0.0
1766393350170,87,1,0,0.0
1766393350224,88,1,0,0.0
1766393350278,89,1,0,0.0
1766393350332,90,1,0,0.0
1766393350386,91,1,0,0.0
1766393350441,92,1,0,0.0
1766393350494,93,1,0,16.7
1766393350548,94,1,0,0.0
1766393350601,95,1,0,0.0
1766393350655,96,1,0,0.0
1766393350709,97,1,0,0.0
1766393350763,98,1,0,0.0
1766393350817,99,1,0,0.0
1766393350871,100,1,0,0.0
1766393350924,101,1,0,16.7
1766393350978,102,1,0,0.0
1766393351032,103,1,0,0.0
1766393351087,104,1,0,0.0
1766393351141,105,1,0,0.0
1766393351194,106,1,0,0.0
1766393351248,107,1,0,20.0
1766393351301,108,1,0,0.0
1766393351355,109,1,0,0.0
1766393351408,110,1,0,0.0
1766393351464,111,1,0,0.0
1766393351519,112,1,0,0.0
1766393351572,113,1,0,0.0
1766393351626,114,1,0,0.0
1766393351680,115,1,0,20.0
1766393351734,116,1,0,0.0
1766393351787,117,1,0,0.0
1766393351841,118,1,0,0.0
1766393351894,119,1,0,20.0
1766393351948,120,1,0,0.0
1766393352002,121,1,0,0.0
1766393352056,122,1,0,0.0
1766393352109,123,1,0,0.0
1766393352163,124,1,0,20.0
1766393352217,125,1,0,0.0
1766393352270,126,1,0,0.0
1766393352325,127,1,0,0.0
1766393352379,128,1,0,0.0
1766393352433,129,1,0,20.0
1766393352487,130,1,0,0.0
1766393352541,131,1,0,0.0
1766393352595,132,1,0,0.0
1766393352650,133,1,0,0.0
1766393352703,134,1,0,0.0
1766393352756,135,1,0,0.0
1766393352810,136,1,0,20.0
1766393352863,137,1,0,0.0
1766393352917,138,1,0,0.0
1766393352972,139,1,0,0.0
1766393353025,140,1,0,0.0
1766393353079,141,1,0,0.0
1766393353132,142,1,0,0.0
1766393353186,143,1,0,0.0
1766393353240,144,1,0,20.0
1766393353294,145,1,0,0.0
1766393353348,146,1,0,0.0
1766393353402,147,1,0,0.0
1766393353456,148,1,0,0.0
1766393353510,149,1,0,0.0
1766393353567,150,1,0,20.0
1766393353620,151,1,0,0.0
1766393353674,152,1,0,0.0
1766393353728,153,1,0,0.0
1766393353786,154,1,0,20.0
1766393353839,155,1,0,0.0
1766393353892,156,1,0,0.0
1766393353946,157,1,0,20.0
1766393353999,158,1,0,0.0
1766393354052,159,1,0,0.0
1766393354107,160,1,0,0.0
1766393354161,161,1,0,0.0
1766393354215,162,1,0,0.0
1766393354269,163,1,0,16.7
1766393354322,164,1,0,0.0
1766393354377,165,1,0,0.0
1766393354431,166,1,0,0.0
1766393354484,167,1,0,0.0
1766393354537,168,1,0,0.0
1766393354591,169,1,0,0.0
1766393354644,170,1,0,20.0
1766393354698,171,1,0,0.0
1766393354751,172,1,0,0.0
1766393354805,173,1,0,0.0
1766393354859,174,1,0,0.0
1766393354912,175,1,0,0.0
1766393354965,176,1,0,0.0
1766393355019,177,1,0,0.0
1766393355072,178,1,0,0.0
1766393355125,179,1,0,16.7
1766393355179,180,1,0,0.0
1766393355233,181,1,0,0.0
1766393355288,182,1,0,0.0
1766393355343,183,1,0,0.0
1766393355396,184,1,0,16.7
1766393355450,185,1,0,0.0
1766393355504,186,1,0,0.0
1766393355559,187,1,0,0.0
1766393355614,188,1,0,0.0
1766393355668,189,1,0,0.0
1766393355722,190,1,0,0.0
1766393355776,191,1,0,0.0
1766393355830,192,1,0,20.0
1766393355884,193,1,0,0.0
1766393355938,194,1,0,0.0
1766393355991,195,1,0,0.0
1766393356046,196,1,0,0.0
1766393356099,197,1,0,20.0
1766393356154,198,1,0,0.0
1766393356223,199,1,0,16.7
1766393356279,200,1,0,0.0
1766393356334,201,1,0,20.0
1766393356389,202,1,0,0.0
1766393356444,203,1,0,0.0
1766393356498,204,1,0,0.0
1766393356552,205,1,0,0.0
1766393356605,206,1,0,20.0
1766393356659,207,1,0,0.0
1766393356713,208,1,0,0.0
1766393356767,209,1,0,0.0
1766393356821,210,1,0,0.0
1766393356875,211,1,0,20.0
1766393356929,212,1,0,0.0
1766393356982,213,1,0,0.0
1766393357036,214,1,0,0.0
1766393357093,215,1,0,0.0
1766393357146,216,1,0,0.0
1766393357200,217,1,0,20.0
1766393357253,218,1,0,0.0
1766393357308,219,1,0,0.0
1766393357362,220,1,0,0.0
1766393357415,221,1,0,0.0
1766393357469,222,1,0,0.0
1766393357523,223,1,0,0.0
1766393357578,224,1,0,14.3
1766393357632,225,1,0,0.0
1766393357686,226,1,0,0.0
1766393357740,227,1,0,0.0
1766393357794,228,1,0,0.0
1766393357848,229,1,0,0.0
1766393357901,230,1,0,0.0
1766393357954,231,1,0,20.0
1766393358009,232,1,0,0.0
1766393358062,233,1,0,16.7
1766393358116,234,1,0,0.0
1766393358170,235,1,0,0.0
1766393358224,236,1,0,0.0
1766393358278,237,1,0,0.0
1766393358331,238,1,0,20.0
1766393358385,239,1,0,0.0
1766393358440,240,1,0,0.0
1766393358494,241,1,0,0.0
1766393358547,242,1,0,0.0
1766393358601,243,1,0,0.0
1766393358655,244,1,0,0.0
1766393358709,245,1,0,20.0
1766393358762,246,1,0,0.0
1766393358815,247,1,0,0.0
1766393358868,248,1,0,0.0
1766393358922,249,1,0,0.0
1766393358976,250,1,0,0.0
1766393359030,251,1,0,16.7
1766393359084,252,1,0,0.0
1766393359138,253,1,0,0.0
1766393359191,254,1,0,0.0
1766393359245,255,1,0,0.0
1766393359298,256,1,0,0.0
1766393359352,257,1,0,0.0
1766393359405,258,1,0,0.0
1766393359459,259,1,0,0.0
1766393359512,260,1,0,0.0
1766393359567,261,1,0,0.0
1766393359620,262,1,0,20.0
1766393359674,263,1,0,0.0
1766393359728,264,1,0,0.0
1766393359783,265,1,0,0.0
1766393359836,266,1,0,20.0
1766393359890,267,1,0,0.0
1766393359944,268,1,0,0.0
1766393359999,269,1,0,0.0
1766393360054,270,1,0,0.0
1766393360108,271,1,0,16.7
1766393360162,272,1,0,0.0
1766393360216,273,1,0,0.0
1766393360270,274,1,0,0.0
1766393360324,275,1,0,0.0
1766393360380,276,1,0,16.7
1766393360434,277,1,0,0.0
1766393360489,278,1,0,0.0
1766393360543,279,1,0,0.0
1766393360596,280,1,0,0.0
1766393360650,281,1,0,20.0
1766393360704,282,1,0,0.0
1766393360759,283,1,0,20.0
1766393360812,284,1,0,0.0
1766393360865,285,1,0,0.0
1766393360919,286,1,0,0.0
1766393360972,287,1,0,0.0
1766393361027,288,1,0,0.0
1766393361080,289,1,0,20.0
1766393361134,290,1,0,0.0
1766393361188,291,1,0,0.0
1766393361242,292,1,0,0.0
1766393361296,293,1,0,0.0
1766393361349,294,1,0,20.0
1766393361405,295,1,0,0.0
1766393361458,296,1,0,0.0
1766393361512,297,1,0,0.0
1766393361566,298,1,0,20.0
1766393361619,299,1,0,0.0
1766393361673,300,1,0,0.0
1766393361727,301,1,0,0.0
1766393361781,302,1,0,0.0
1766393361836,303,1,0,0.0
1766393361890,304,1,0,20.0
1766393361944,305,1,0,0.0
1766393361998,306,1,0,0.0
1766393362051,307,1,0,0.0
1766393362105,308,1,0,0.0
1766393362159,309,1,0,0.0
1766393362213,310,1,0,0.0
1766393362267,311,1,0,20.0
1766393362320,312,1,0,0.0
1766393362374,313,1,0,0.0
1766393362427,314,1,0,0.0
1766393362481,315,1,0,0.0
1766393362535,316,1,0,0.0
1766393362589,317,1,0,20.0
1766393362642,318,1,0,0.0
1766393362696,319,1,0,0.0
1766393362749,320,1,0,0.0
1766393362803,321,1,0,20.0
1766393362857,322,1,0,0.0
1766393362910,323,1,0,0.0
1766393362964,324,1,0,0.0
1766393363017,325,1,0,0.0
