timestamp_ms,snapshot_id,active_clients,total_actions,cpu_percent
1766393278179,1,1,0,0.0
1766393278234,2,1,0,20.0
1766393278289,3,1,0,0.0
1766393278343,4,1,0,0.0
1766393278398,5,1,0,0.0
1766393278452,6,1,0,16.7
1766393278511,7,1,0,33.3
1766393278567,8,1,0,0.0
1766393278622,9,1,0,25.0
1766393278676,10,1,0,0.0
1766393278734,11,1,0,16.7
1766393278789,12,1,0,0.0
1766393278843,13,1,0,0.0
1766393278897,14,1,0,0.0
1766393278951,15,1,0,0.0
1766393279007,16,1,0,20.0
1766393279061,17,1,0,0.0
1766393279121,18,1,0,20.0
1766393279180,19,1,0,0.0
1766393279237,20,1,0,50.0
1766393279294,21,1,0,0.0
1766393279350,22,1,0,0.0
1766393279404,23,1,0,0.0
1766393279459,24,1,0,0.0
1766393279514,25,1,0,28.6
1766393279567,26,1,0,0.0
1766393279622,27,1,0,0.0
1766393279677,28,1,0,0.0
1766393279732,29,1,0,16.7
1766393279787,30,1,0,0.0
1766393279845,31,1,0,0.0
1766393279901,32,1,0,20.0
1766393279957,33,1,0,0.0
1766393280011,34,1,0,0.0
1766393280066,35,1,0,20.0
1766393280125,36,1,0,0.0
1766393280196,37,1,0,83.3
1766393280258,38,1,0,25.0
1766393280322,39,1,0,0.0
1766393280380,40,1,0,25.0
1766393280434,41,1,0,25.0
1766393280488,42,1,0,0.0
1766393280544,43,1,0,0.0
1766393280599,44,1,0,0.0
1766393280655,45,1,0,0.0
1766393280710,46,1,0,25.0
1766393280766,47,1,0,25.0
1766393280820,48,1,0,20.0
1766393280882,49,1,0,0.0
1766393280938,50,1,0,60.0
1766393280997,51,1,0,25.0
1766393281054,52,1,0,0.0
1766393281109,53,1,0,0.0
1766393281164,54,1,0,0.0
1766393281222,55,1,0,0.0
1766393281283,56,1,0,40.0
1766393281338,57,1,0,0.0
1766393281393,58,1,0,33.3
1766393281448,59,1,0,0.0
1766393281503,60,1,0,0.0
1766393281557,61,1,0,0.0
1766393281611,62,1,0,0.0
1766393281665,63,1,0,20.0
1766393281722,64,1,0,0.0
1766393281778,65,1,0,0.0
1766393281833,66,1,0,16.7
1766393281887,67,1,0,33.3
1766393281942,68,1,0,0.0
1766393281997,69,1,0,0.0
1766393282051,70,1,0,20.0
1766393282107,71,1,0,0.0
1766393282161,72,1,0,0.0
1766393282216,73,1,0,0.0
1766393282270,74,1,0,0.0
1766393282325,75,1,0,0.0
1766393282379,76,1,0,16.7
1766393282434,77,1,0,0.0
1766393282490,78,1,0,25.0
1766393282548,79,1,0,0.0
1766393282604,80,1,0,0.0
1766393282658,81,1,0,0.0
1766393282712,82,1,0,0.0
1766393282769,83,1,0,16.7
1766393282824,84,1,0,0.0
1766393282879,85,1,0,0.0
1766393282935,86,1,0,0.0
1766393282989,87,1,0,0.0
1766393283045,88,1,0,20.0
1766393283100,89,1,0,0.0
1766393283155,90,1,0,0.0
1766393283210,91,1,0,0.0
1766393283264,92,1,0,16.7
1766393283318,93,1,0,0.0
1766393283372,94,1,0,0.0
1766393283427,95,1,0,0.0
1766393283481,96,1,0,20.0
1766393283536,97,1,0,0.0
1766393283591,98,1,0,0.0
1766393283649,99,1,0,0.0
1766393283705,100,1,0,0.0
1766393283759,101,1,0,16.7
1766393283814,102,1,0,0.0
1766393283868,103,1,0,0.0
1766393283922,104,1,0,0.0
1766393283977,105,1,0,0.0
1766393284031,106,1,0,16.7
1766393284086,107,1,0,0.0
1766393284140,108,1,0,20.0
1766393284196,109,1,0,0.0
1766393284251,110,1,0,0.0
1766393284306,111,1,0,0.0
1766393284361,112,1,0,0.0
1766393284416,113,1,0,20.0
1766393284470,114,1,0,0.0
1766393284525,115,1,0,0.0
1766393284580,116,1,0,20.0
1766393284634,117,1,0,0.0
1766393284689,118,1,0,20.0
