timestamp_ms,snapshot_id,active_clients,total_actions,cpu_percent
1766393002392,1,1,0,0.0
1766393002447,2,1,0,0.0
1766393002503,3,1,0,0.0
1766393002558,4,1,0,20.0
1766393002613,5,1,0,0.0
1766393002668,6,1,0,0.0
1766393002723,7,1,0,20.0
1766393002779,8,1,0,25.0
1766393002834,9,1,0,0.0
1766393002890,10,1,0,20.0
1766393002946,11,1,0,0.0
1766393003001,12,1,0,0.0
1766393003056,13,1,0,0.0
1766393003111,14,1,0,0.0
1766393003166,15,1,0,0.0
1766393003221,16,1,0,0.0
1766393003277,17,1,0,25.0
1766393003332,18,1,0,25.0
1766393003387,19,1,0,0.0
1766393003443,20,1,0,20.0
1766393003499,21,1,0,0.0
1766393003559,22,1,0,40.0
1766393003618,23,1,0,20.0
1766393003675,24,1,0,0.0
1766393003729,25,1,0,0.0
1766393003783,26,1,0,0.0
1766393003839,27,1,0,0.0
1766393003894,28,1,0,20.0
1766393003948,29,1,0,0.0
1766393004004,30,1,0,20.0
1766393004059,31,1,0,0.0
1766393004115,32,1,0,0.0
1766393004169,33,1,0,0.0
1766393004225,34,1,0,0.0
1766393004280,35,1,0,20.0
1766393004334,36,1,0,0.0
1766393004389,37,1,0,0.0
1766393004446,38,1,0,20.0
1766393004503,39,1,0,0.0
1766393004559,40,1,0,0.0
1766393004613,41,1,0,0.0
1766393004672,42,1,0,20.0
1766393004728,43,1,0,0.0
1766393004782,44,1,0,0.0
1766393004840,45,1,0,33.3
1766393004896,46,1,0,0.0
1766393004952,47,1,0,0.0
1766393005006,48,1,0,20.0
1766393005061,49,1,0,0.0
1766393005115,50,1,0,0.0
1766393005174,51,1,0,20.0
1766393005227,52,1,0,20.0
1766393005282,53,1,0,0.0
1766393005340,54,1,0,0.0
1766393005395,55,1,0,0.0
1766393005454,56,1,0,20.0
1766393005509,57,1,0,0.0
1766393005569,58,1,0,20.0
1766393005623,59,1,0,20.0
1766393005677,60,1,0,0.0
1766393005731,61,1,0,0.0
1766393005786,62,1,0,20.0
1766393005840,63,1,0,0.0
1766393005894,64,1,0,0.0
1766393005948,65,1,0,16.7
1766393006003,66,1,0,0.0
1766393006058,67,1,0,0.0
1766393006111,68,1,0,0.0
1766393006166,69,1,0,0.0
1766393006220,70,1,0,16.7
1766393006275,71,1,0,0.0
1766393006329,72,1,0,0.0
1766393006385,73,1,0,20.0
1766393006441,74,1,0,0.0
1766393006495,75,1,0,0.0
1766393006550,76,1,0,20.0
1766393006604,77,1,0,0.0
1766393006658,78,1,0,0.0
1766393006712,79,1,0,0.0
1766393006767,80,1,0,0.0
1766393006822,81,1,0,33.3
1766393006876,82,1,0,0.0
1766393006931,83,1,0,0.0
1766393006985,84,1,0,0.0
1766393007039,85,1,0,20.0
1766393007094,86,1,0,0.0
1766393007148,87,1,0,0.0
1766393007202,88,1,0,0.0
1766393007256,89,1,0,0.0
1766393007310,90,1,0,0.0
1766393007366,91,1,0,0.0
1766393007421,92,1,0,16.7
1766393007477,93,1,0,0.0
1766393007533,94,1,0,0.0
1766393007590,95,1,0,0.0
1766393007643,96,1,0,0.0
1766393007698,97,1,0,0.0
1766393007752,98,1,0,0.0
1766393007807,99,1,0,0.0
1766393007862,100,1,0,0.0
1766393007917,101,1,0,20.0
1766393007971,102,1,0,0.0
1766393008026,103,1,0,0.0
1766393008080,104,1,0,0.0
1766393008134,105,1,0,20.0
1766393008189,106,1,0,20.0
1766393008246,107,1,0,0.0
1766393008303,108,1,0,0.0
1766393008359,109,1,0,0.0
1766393008416,110,1,0,14.3
1766393008473,111,1,0,0.0
1766393008531,112,1,0,0.0
1766393008586,113,1,0,0.0
1766393008641,114,1,0,0.0
1766393008695,115,1,0,16.7
1766393008751,116,1,0,0.0
1766393008805,117,1,0,0.0
1766393008859,118,1,0,0.0
1766393008914,119,1,0,20.0
1766393008971,120,1,0,0.0
1766393009026,121,1,0,0.0
1766393009081,122,1,0,0.0
1766393009136,123,1,0,0.0
1766393009191,124,1,0,0.0
1766393009247,125,1,0,0.0
1766393009301,126,1,0,16.7
1766393009357,127,1,0,0.0
1766393009415,128,1,0,20.0
1766393009471,129,1,0,0.0
1766393009525,130,1,0,0.0
1766393009580,131,1,0,0.0
1766393009634,132,1,0,0.0
1766393009689,133,1,0,0.0
1766393009743,134,1,0,20.0
1766393009798,135,1,0,0.0
1766393009852,136,1,0,0.0
1766393009906,137,1,0,0.0
1766393009960,138,1,0,0.0
1766393010017,139,1,0,20.0
1766393010070,140,1,0,0.0
1766393010125,141,1,0,16.7
1766393010180,142,1,0,0.0
1766393010234,143,1,0,0.0
1766393010289,144,1,0,16.7
1766393010344,145,1,0,0.0
1766393010399,146,1,0,0.0
1766393010453,147,1,0,0.0
1766393010508,148,1,0,0.0
